cryptoPair,copyPopularity,roi,pnl,runningTime
MBOX/USDT,0,20.94%,547.77,29d 2h 5m
LINK/USDT,0,20.92%,29.02,61d 19h 49m
BNB/ETH,0,20.91%,170.17,67d 18h 23m
DODO/USDT,0,20.90%,272.84,33d 20h 39m
LINK/BNB,0,20.87%,93.35,62d 20h 55m
SOL/BUSD,0,20.87%,70.88,53d 21h 5m
PEOPLE/BUSD,1,20.85%,329.79,35d 13h 58m
JASMY/BUSD,0,20.83%,9.38,67d 14h 24m
SHIB/BUSD,0,20.82%,14.46,48d 23h 27m
BNB/ETH,9,20.79%,43760.43,100d 22m
GMT/BUSD,0,20.75%,259.59,52d 19h 36m
SOL/BUSD,1,20.67%,30.62,37d 6h 10m
BNB/ETH,1,20.65%,166.72,71d 12h 20m
ETH/BUSD,0,20.55%,54.94,35d 17h 8m
MATIC/USDT,1,20.51%,391.14,7d 9h 14m
TROY/USDT,0,20.51%,23.09,60d 20h 16m
ETC/BTC,1,20.51%,4.71,77d 1h 27m
MATIC/USDT,0,20.50%,79.08,64d 8h 16m
CHR/BTC,0,20.46%,124.56,65d 14h 33m
BNB/BUSD,1,20.46%,2870.42,35d 23h 14m
AVAX/USDT,0,20.40%,55.09,36d 21h 40m
BTC/BUSD,68,20.38%,26.97,32d 8h 54m
AR/USDT,1,20.38%,5366.42,54d 5h 17m
SOL/BUSD,0,20.37%,25.92,40d 13h 40m
ETH/BUSD,0,20.35%,113.41,19d 5h 3m
ETH/BUSD,0,20.33%,31.48,36d 14h 52m
AR/BTC,0,20.30%,4610.34,57d 14h 25m
ETH/USDT,0,20.27%,229.76,36d 23h 19m
ETH/USDT,0,20.27%,272.65,19d 31m
AVAX/USDT,0,20.25%,18.10,9d 20h 10m
SAND/BTC,0,20.23%,74.55,65d 10h 59m
BNB/ETH,0,20.23%,123.80,190d 10h 8m
SHIB/BUSD,0,20.22%,14.89,29d 15h 44m
SOL/USDT,0,20.22%,48.47,43d 22h 21m
ASR/USDT,0,20.18%,18.03,41d 11h 34m
ALPACA/BUSD,1,20.16%,140.66,19d 16h 36m
DENT/USDT,0,20.14%,61.80,31d 18h 13m
SHIB/DOGE,0,20.12%,37.67,48d 16h 30m
ETH/USDT,0,20.11%,271.29,6d 12h 20m
GMT/BNB,0,20.11%,94.70,53d 10h 25m
RARE/BUSD,0,20.08%,179.05,57d 6h 36m
GMT/BUSD,0,20.07%,9.41,27d 9h 3m
GMT/BUSD,0,20.07%,36.12,29d 13h 22m
GMT/BUSD,0,20.05%,82.09,16d 19h 34m
LTC/USDT,8,20.05%,7.91,36d 4h 29m
DOGE/USDT,0,20.03%,246.88,38d 2h 7m
GMT/BUSD,0,20.01%,10.35,30d 15h 10m
MDT/BUSD,0,19.98%,180.33,26d 11h 10m
GMT/BUSD,0,19.94%,179.64,20d 7h 18m
ETH/BUSD,0,19.92%,57.12,37d 17h 47m
SHIB/DOGE,0,19.92%,169.92,36d 10h 10m
API3/USDT,0,19.90%,66.99,29d 11h 23m
ETH/BUSD,0,19.90%,2508.10,36d 13h
ETH/USDT,0,19.88%,519.75,36d 17h 12m
GMT/BUSD,0,19.88%,83.45,29d 12h 23m
FTM/USDT,0,19.86%,35.72,68d 8h 19m
DOT/USDT,3,19.83%,55.94,33d 6h 28m
AAVE/USDT,0,19.80%,81.83,12d 11h 56m
BNB/USDT,4,19.78%,192.39,70d 31m
ATOM/USDT,0,19.76%,177.79,22d 14h 16m
AXS/USDT,0,19.74%,26.59,35d 4h 34m
ETC/ETH,1,19.73%,10.43,101d 22h 47m
CHZ/BUSD,0,19.72%,25.20,31d 13h 27m
ETH/BUSD,0,19.71%,176.95,25d 16h 31m
BNB/ETH,0,19.69%,45.01,191d 16h 11m
ETH/USDT,0,19.69%,80.61,21d 22h 26m
AVAX/USDT,0,19.69%,13.86,21d 15h 22m
GMT/BUSD,2,19.67%,106.25,16d 18h 53m
ANC/USDT,0,19.67%,17.53,39d 20h 8m
PEOPLE/BUSD,0,19.65%,46.41,29d 11h 47m
ETH/BUSD,0,19.65%,73.03,36d 19h 48m
ICP/USDT,0,19.63%,92.65,21d 14h 4m
GMT/BUSD,0,19.63%,39.54,20d 12h 8m
ALPACA/BTC,1,19.61%,39.84,74d 7h 5m
BTC/BUSD,0,19.59%,1758.29,32d 15h 29m
SHIB/DOGE,0,19.57%,66.70,71d 5h 5m
ETH/USDT,0,19.54%,106.60,30d 14h 32m
ICP/BUSD,0,19.50%,270.38,21d 22h 38m
ADA/BTC,0,19.49%,18.43,74d 10h 28m
SHIB/DOGE,0,19.49%,21.78,83d 23h 58m
